query,uri,label_or_descr,dating_label
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0100190062,"Abitato protostorico e probabile necropoli (insediamento, insediamento) - Alessandria (AL)  (Eta' del ferro I) :: Nel corso di una serie di ricognizioni effettuate tra il 1972 e il 1982 dalla Soprintendenza Archeologica del Piemonte, si è individuata un'ampia area (circa 60",Eta' del ferro I
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0100190062,"Abitato protostorico e probabile necropoli (insediamento, insediamento) - Alessandria (AL)  (Eta' del ferro I) :: Nel corso di una serie di ricognizioni effettuate tra il 1972 e il 1982 dalla Soprintendenza Archeologica del Piemonte, si è individuata un'ampia area (circa 60",Età del ferro I
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0800633668RA,"coppa, a vernice nera (Eta' antica) :: COPPA A VERNICE NERA LOCALE ROTELLATURE SUL FONDO INTERNO, ALL’ESTERNO, CON ISCRIZIONE BILINGUE GRECO E ETRUSCO: ΔΙΟΝΥΣΟΥ MI ŚT…VCH…Ś",Eta' antica
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0800633668RA,"coppa, a vernice nera (Eta' antica) :: COPPA A VERNICE NERA LOCALE ROTELLATURE SUL FONDO INTERNO, ALL’ESTERNO, CON ISCRIZIONE BILINGUE GRECO E ETRUSCO: ΔΙΟΝΥΣΟΥ MI ŚT…VCH…Ś",Età antica
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0800633668RA,"coppa, a vernice nera (Eta' antica) :: COPPA A VERNICE NERA LOCALE ROTELLATURE SUL FONDO INTERNO, ALL’ESTERNO, CON ISCRIZIONE BILINGUE GRECO E ETRUSCO: ΔΙΟΝΥΣΟΥ MI ŚT…VCH…Ś",età antica
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0800633668RA,"coppa, a vernice nera (Eta' antica) :: COPPA A VERNICE NERA LOCALE ROTELLATURE SUL FONDO INTERNO, ALL’ESTERNO, CON ISCRIZIONE BILINGUE GRECO E ETRUSCO: ΔΙΟΝΥΣΟΥ MI ŚT…VCH…Ś",età antica (?)
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",SECC. II / I A.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",SECC. II/ I A.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",SECC. II/I A.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",Secc. II - I a.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",Secc. II/ I a.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",Secc. II/I a.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",secc. II - I a.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",secc. II / I a.C
descr_iscrizione,https://w3id.org/arco/resource/ArchaeologicalProperty/0900415837,"patera/ orlo (secc. II/ I a.C) :: Orlo quasi verticale, indistinto, con bordo assottigliato e arrotondato; bassa vasca con parete a profilo appena convesso. Argilla beige. Vernice nera, coprente",secc. II-I a.C
